ScenarioID,eventName,currencyOfEvent,instrument,enabledOrderDirection,orderDirection,secondsBeforePending,secondsBeforeModify,secondsAfterNews,isOCO,manageMoney,calcAmountWithMaxSpread,weight,pointsAway,takeProfit,stopLoss,modifyGap,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,riskPercent,amount,maxSpread,maxSlippage,,,,,0
13,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.704332885,0,4.747492189,0.1,0,0,0,11.15235765,1.613833633,TRUE,0.052,0.001,0,999,1189,0.666666667,4.309578007,,126
14,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.845142517,0,4.911767883,0.1,0,0,0,18.26760283,1.47753498,TRUE,0.052,0.001,0,999,1156.29,0.666666667,3.202479921,,104.1933333
15,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.80651047,0,5.346527509,0.1,0,0,0,10.19336643,1.669827999,TRUE,0.052,0.001,0,999,,,,,0
16,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.271356305,0,5.174788125,0.1,0,0,0,5.14861435,1.639592529,TRUE,0.052,0.001,0,999,1110.12,0.5,4.015338263,,55.06
17,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.328552485,0,5.554449481,0.1,0,0,0,9.412849496,1.633336052,TRUE,0.052,0.001,0,999,1107.26,0.666666667,3.588845968,,71.50666667
18,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,13.34118324,0,5.220841698,0.1,0,0,0,17.9718169,1.583066904,TRUE,0.052,0.001,0,999,1149.58,0.8,4.176857749,,119.664
19,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,15.49207615,0,5.210472781,0.1,0,0,0,14.53697584,1.601528434,TRUE,0.052,0.001,0,999,,,,,0
20,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,17.63059928,0,4.674677928,0.1,0,0,0,15.44936017,1.501874621,TRUE,0.026,0.001,0,999,1091.32,0.666666667,3.576586742,,60.88
1,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.767248518,0,4.49558775,0.1,0,0,0,3.574199647,1.415914129,TRUE,0.026,0.001,0,999,1072.25,0.5,2.403924616,,36.125
2,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,9.312383344,0,4.16906402,0.1,0,0,0,13.15407418,1.577850704,TRUE,0.026,0.001,0,999,1096.75,0.571428571,3.016885553,,55.28571429
3,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,12.5,TRUE,TRUE,FALSE,1,10.31670555,0,4.301929817,0.1,0,0,0,11.51983554,1.621766757,TRUE,0.026,0.001,0,999,,,,,0
4,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,9.714126206,0,3.830827486,0.1,0,0,0,11.23810231,1.321712934,TRUE,0.026,0.001,0,999,1080.6,0.5,2.300790705,,40.3
5,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,12.5,TRUE,TRUE,FALSE,1,10.18363472,0,3.617097335,0.1,0,0,0,11.89074959,1.636101493,TRUE,0.026,0.001,0,999,,,,,0
6,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,10.22652769,0,3.755630739,0.1,0,0,0,8.86687295,1.685002935,TRUE,0.026,0.001,0,999,1075.33,0.571428571,2.108772446,,43.04571429
7,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,10.25286754,0,3.912885861,0.1,0,0,0,8.081749298,1.497535282,TRUE,0.013,0.001,0,999,,,,,0
8,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,8.753987082,0,3.993815666,0.1,0,0,0,7.139305851,1.621530245,TRUE,0.013,0.001,0,999,1060.86,0.571428571,1.953462864,,34.77714286
9,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,12.5,TRUE,TRUE,FALSE,1,9.29102501,0,4.166360183,0.1,0,0,0,8.480119807,1.37984812,TRUE,0.013,0.001,0,999,,,,,0
10,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,10.76973022,0,3.804770569,0.1,0,0,0,9.129704244,1.446750931,TRUE,0.013,0.001,0,999,1059.53,0.5,1.728085211,,29.765
11,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,13.65732187,0,4.270850191,0.1,0,0,0,8.694004028,1.461222049,TRUE,0.013,0.001,0,999,,,,,0
12,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,17.72767025,0,4.369420403,0.1,0,0,0,7.192970767,1.65457466,TRUE,0.039,0.001,0,999,1063.12,1,999,,63.12
13,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,16.21050576,0,4.328714367,0.1,0,0,0,9.528528351,1.610924495,TRUE,0.039,0.001,0,999,,,,,0
14,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,16.40677897,0,3.597746028,0.1,0,0,0,8.423308288,1.391147699,TRUE,0.039,0.001,0,999,1057.15,1,999,,57.15
15,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,15.96692746,0,3.966703674,0.1,0,0,0,10.80229788,1.683394622,TRUE,0.039,0.001,0,999,,,,,0
16,United Kingdom Markit Services PMI,GBP,EUR/GBP,BOTHDIRECTION,SHORT,10,0,20,TRUE,TRUE,FALSE,1,16.87782069,0,3.853355108,0.1,0,0,0,13.00981684,1.67796818,TRUE,0.039,0.001,0,999,1055.59,1,999,,55.59
